都道府県番号,都道府県,年,性別,全年齢
29,奈良,2002,男,687000
29,奈良,2002,女,751000
30,和歌山,2002,男女計,1061000
30,和歌山,2002,男,502000
30,和歌山,2002,女,559000
31,鳥取,2002,男女計,612000
31,鳥取,2002,男,293000
31,鳥取,2002,女,319000
32,島根,2002,男女計,757000
32,島根,2002,男,361000
32,島根,2002,女,395000
33,岡山,2002,男女計,1953000
33,岡山,2002,男,936000
33,岡山,2002,女,1016000
34,広島,2002,男女計,2878000
34,広島,2002,男,1390000
34,広島,2002,女,1488000
35,山口,2002,男女計,1518000
35,山口,2002,男,717000
35,山口,2002,女,801000
36,徳島,2002,男女計,820000
36,徳島,2002,男,389000
36,徳島,2002,女,431000
37,香川,2002,男女計,1021000
37,香川,2002,男,490000
37,香川,2002,女,530000
38,愛媛,2002,男女計,1486000
38,愛媛,2002,男,701000
38,愛媛,2002,女,786000
39,高知,2002,男女計,810000
39,高知,2002,男,382000
39,高知,2002,女,428000
40,福岡,2002,男女計,5043000
40,福岡,2002,男,2397000
40,福岡,2002,女,2646000
41,佐賀,2002,男女計,874000
41,佐賀,2002,男,413000
41,佐賀,2002,女,461000
42,長崎,2002,男女計,1507000
42,長崎,2002,男,708000
42,長崎,2002,女,800000
43,熊本,2002,男女計,1858000
43,熊本,2002,男,877000
43,熊本,2002,女,981000
44,大分,2002,男女計,1219000
44,大分,2002,男,575000
44,大分,2002,女,645000
45,宮崎,2002,男女計,1167000
45,宮崎,2002,男,550000
45,宮崎,2002,女,617000
46,鹿児島,2002,男女計,1779000
46,鹿児島,2002,男,834000
46,鹿児島,2002,女,945000
47,沖縄,2002,男女計,1339000
47,沖縄,2002,男,658000
47,沖縄,2002,女,681000
0,全国,2003,男女計,127619000
0,全国,2003,男,62304000
0,全国,2003,女,65315000
1,北海道,2003,男女計,5659000
1,北海道,2003,男,2700000
1,北海道,2003,女,2959000
2,青森,2003,男女計,1462000
2,青森,2003,男,694000
2,青森,2003,女,767000
3,岩手,2003,男女計,1402000
3,岩手,2003,男,672000
3,岩手,2003,女,729000
4,宮城,2003,男女計,2373000
4,宮城,2003,男,1158000
4,宮城,2003,女,1215000
5,秋田,2003,男女計,1167000
5,秋田,2003,男,552000
5,秋田,2003,女,615000
6,山形,2003,男女計,1230000
6,山形,2003,男,593000
6,山形,2003,女,637000
7,福島,2003,男女計,2113000
7,福島,2003,男,1030000
7,福島,2003,女,1084000
8,茨城,2003,男女計,2991000
8,茨城,2003,男,1488000
8,茨城,2003,女,1503000
9,栃木,2003,男女計,2011000
9,栃木,2003,男,998000
9,栃木,2003,女,1013000
10,群馬,2003,男女計,2034000
10,群馬,2003,男,1002000
10,群馬,2003,女,1032000
11,埼玉,2003,男女計,7029000
11,埼玉,2003,男,3541000
11,埼玉,2003,女,3488000
12,千葉,2003,男女計,6024000
12,千葉,2003,男,3018000
12,千葉,2003,女,3006000
13,東京,2003,男女計,12310000
13,東京,2003,男,6120000
13,東京,2003,女,6190000
14,神奈川,2003,男女計,8687000
14,神奈川,2003,男,4392000
14,神奈川,2003,女,4295000
15,新潟,2003,男女計,2460000
15,新潟,2003,男,1192000
15,新潟,2003,女,1267000
16,富山,2003,男女計,1117000
16,富山,2003,男,538000
16,富山,2003,女,579000
17,石川,2003,男女計,1180000
17,石川,2003,男,571000
17,石川,2003,女,609000
18,福井,2003,男女計,827000
18,福井,2003,男,401000
18,福井,2003,女,426000
19,山梨,2003,男女計,887000
19,山梨,2003,男,435000
19,山梨,2003,女,452000
20,長野,2003,男女計,2215000
20,長野,2003,男,1079000
20,長野,2003,女,1136000
21,岐阜,2003,男女計,2111000
21,岐阜,2003,男,1023000
21,岐阜,2003,女,1088000
22,静岡,2003,男女計,3793000
22,静岡,2003,男,1869000
22,静岡,2003,女,1924000
23,愛知,2003,男女計,7158000
23,愛知,2003,男,3579000
23,愛知,2003,女,3579000
24,三重,2003,男女計,1862000
24,三重,2003,男,903000
24,三重,2003,女,959000
25,滋賀,2003,男女計,1366000
25,滋賀,2003,男,674000
25,滋賀,2003,女,692000
26,京都,2003,男女計,2641000
26,京都,2003,男,1272000
26,京都,2003,女,1369000
27,大阪,2003,男女計,8816000
27,大阪,2003,男,4290000
27,大阪,2003,女,4525000
28,兵庫,2003,男女計,5585000
28,兵庫,2003,男,2680000
28,兵庫,2003,女,2905000
29,奈良,2003,男女計,1436000
29,奈良,2003,男,685000
29,奈良,2003,女,750000
30,和歌山,2003,男女計,1056000
30,和歌山,2003,男,499000
30,和歌山,2003,女,557000
31,鳥取,2003,男女計,611000
31,鳥取,2003,男,292000
31,鳥取,2003,女,318000
32,島根,2003,男女計,753000
32,島根,2003,男,359000
32,島根,2003,女,394000
33,岡山,2003,男女計,1953000
33,岡山,2003,男,936000
33,岡山,2003,女,1017000
34,広島,2003,男女計,2878000
34,広島,2003,男,1390000
34,広島,2003,女,1488000
35,山口,2003,男女計,1512000
35,山口,2003,男,714000
35,山口,2003,女,798000
36,徳島,2003,男女計,817000
36,徳島,2003,男,388000
36,徳島,2003,女,429000
37,香川,2003,男女計,1020000
37,香川,2003,男,490000
37,香川,2003,女,530000
38,愛媛,2003,男女計,1483000
38,愛媛,2003,男,699000
38,愛媛,2003,女,784000
39,高知,2003,男女計,807000
39,高知,2003,男,380000
39,高知,2003,女,427000
40,福岡,2003,男女計,5051000
40,福岡,2003,男,2400000
40,福岡,2003,女,2651000
41,佐賀,2003,男女計,872000
41,佐賀,2003,男,412000
41,佐賀,2003,女,460000
42,長崎,2003,男女計,1501000
42,長崎,2003,男,705000
42,長崎,2003,女,797000
43,熊本,2003,男女計,1855000
43,熊本,2003,男,875000
43,熊本,2003,女,980000
44,大分,2003,男女計,1218000
44,大分,2003,男,573000
44,大分,2003,女,644000
45,宮崎,2003,男女計,1164000
45,宮崎,2003,男,548000
45,宮崎,2003,女,616000
46,鹿児島,2003,男女計,1775000
46,鹿児島,2003,男,832000
46,鹿児島,2003,女,943000
47,沖縄,2003,男女計,1349000
47,沖縄,2003,男,663000
47,沖縄,2003,女,686000
0,全国,2004,男女計,127687000
0,全国,2004,男,62295000
0,全国,2004,女,65392000
1,北海道,2004,男女計,5644000
1,北海道,2004,男,2689000
1,北海道,2004,女,2955000
2,青森,2004,男女計,1452000
2,青森,2004,男,689000
2,青森,2004,女,764000
3,岩手,2004,男女計,1395000
3,岩手,2004,男,669000
3,岩手,2004,女,726000
4,宮城,2004,男女計,2371000
4,宮城,2004,男,1156000
4,宮城,2004,女,1216000
5,秋田,2004,男女計,1159000
5,秋田,2004,男,548000
5,秋田,2004,女,611000
6,山形,2004,男女計,1223000
6,山形,2004,男,589000
6,山形,2004,女,634000
7,福島,2004,男女計,2106000
7,福島,2004,男,1025000
7,福島,2004,女,1081000
8,茨城,2004,男女計,2989000
8,茨城,2004,男,1486000
8,茨城,2004,女,1503000
9,栃木,2004,男女計,2013000
9,栃木,2004,男,998000
9,栃木,2004,女,1014000
10,群馬,2004,男女計,2033000
10,群馬,2004,男,1002000
10,群馬,2004,女,1031000
11,埼玉,2004,男女計,7047000
11,埼玉,2004,男,3548000
11,埼玉,2004,女,3499000
12,千葉,2004,男女計,6039000
12,千葉,2004,男,3023000
12,千葉,2004,女,3017000
13,東京,2004,男女計,12378000
13,東京,2004,男,6148000
13,東京,2004,女,6231000
14,神奈川,2004,男女計,8732000
14,神奈川,2004,男,4408000
14,神奈川,2004,女,4324000
15,新潟,2004,男女計,2452000
15,新潟,2004,男,1188000
15,新潟,2004,女,1264000
16,富山,2004,男女計,1117000
16,富山,2004,男,538000
16,富山,2004,女,579000
17,石川,2004,男女計,1179000
17,石川,2004,男,570000
17,石川,2004,女,609000
18,福井,2004,男女計,825000
18,福井,2004,男,399000
18,福井,2004,女,425000
19,山梨,2004,男女計,886000
19,山梨,2004,男,434000
19,山梨,2004,女,452000
20,長野,2004,男女計,2211000
20,長野,2004,男,1077000
20,長野,2004,女,1135000
21,岐阜,2004,男女計,2110000
21,岐阜,2004,男,1022000
21,岐阜,2004,女,1088000
22,静岡,2004,男女計,3795000
22,静岡,2004,男,1870000
22,静岡,2004,女,1925000
23,愛知,2004,男女計,7192000
23,愛知,2004,男,3596000
23,愛知,2004,女,3596000
24,三重,2004,男女計,1864000
24,三重,2004,男,904000
24,三重,2004,女,960000
25,滋賀,2004,男女計,1372000
25,滋賀,2004,男,676000
25,滋賀,2004,女,696000
26,京都,2004,男女計,2638000
26,京都,2004,男,1270000
26,京都,2004,女,1369000
27,大阪,2004,男女計,8814000
27,大阪,2004,男,4284000
27,大阪,2004,女,4530000
28,兵庫,2004,男女計,5587000
28,兵庫,2004,男,2678000
28,兵庫,2004,女,2909000
29,奈良,2004,男女計,1431000
29,奈良,2004,男,683000
29,奈良,2004,女,748000
30,和歌山,2004,男女計,1050000
30,和歌山,2004,男,496000
30,和歌山,2004,女,554000
31,鳥取,2004,男女計,609000
31,鳥取,2004,男,291000
31,鳥取,2004,女,318000
32,島根,2004,男女計,749000
32,島根,2004,男,357000
32,島根,2004,女,392000
33,岡山,2004,男女計,1952000
33,岡山,2004,男,936000
33,岡山,2004,女,1017000
34,広島,2004,男女計,2878000
34,広島,2004,男,1389000
34,広島,2004,女,1488000
35,山口,2004,男女計,1504000
35,山口,2004,男,711000
35,山口,2004,女,794000
36,徳島,2004,男女計,813000
36,徳島,2004,男,386000
36,徳島,2004,女,428000
37,香川,2004,男女計,1018000
37,香川,2004,男,489000
37,香川,2004,女,529000
38,愛媛,2004,男女計,1477000
38,愛媛,2004,男,696000
38,愛媛,2004,女,781000
39,高知,2004,男女計,803000
39,高知,2004,男,378000
39,高知,2004,女,425000
40,福岡,2004,男女計,5058000
40,福岡,2004,男,2402000
40,福岡,2004,女,2657000
41,佐賀,2004,男女計,870000
41,佐賀,2004,男,410000
41,佐賀,2004,女,459000
42,長崎,2004,男女計,1495000
42,長崎,2004,男,702000
42,長崎,2004,女,794000
43,熊本,2004,男女計,1852000
43,熊本,2004,男,873000
43,熊本,2004,女,979000
44,大分,2004,男女計,1215000
44,大分,2004,男,572000
44,大分,2004,女,643000
45,宮崎,2004,男女計,1162000
45,宮崎,2004,男,547000
45,宮崎,2004,女,615000
46,鹿児島,2004,男女計,1769000
46,鹿児島,2004,男,829000
46,鹿児島,2004,女,940000
47,沖縄,2004,男女計,1359000
47,沖縄,2004,男,667000
47,沖縄,2004,女,692000
0,全国,2005,男女計,127767994
0,全国,2005,男,62348977
0,全国,2005,女,65419017
1,北海道,2005,男女計,5627737
1,北海道,2005,男,2675033
1,北海道,2005,女,2952704
2,青森,2005,男女計,1436657
2,青森,2005,男,679077
2,青森,2005,女,757580
3,岩手,2005,男女計,1385041
3,岩手,2005,男,663580
3,岩手,2005,女,721461
4,宮城,2005,男女計,2360218
4,宮城,2005,男,1149172
4,宮城,2005,女,1211046
5,秋田,2005,男女計,1145501
5,秋田,2005,男,540539
5,秋田,2005,女,604962
6,山形,2005,男女計,1216181
6,山形,2005,男,585023
6,山形,2005,女,631158
7,福島,2005,男女計,2091319
7,福島,2005,男,1016724
7,福島,2005,女,1074595
8,茨城,2005,男女計,2975167
8,茨城,2005,男,1479941
8,茨城,2005,女,1495226
9,栃木,2005,男女計,2016631
9,栃木,2005,男,1002114
9,栃木,2005,女,1014517
10,群馬,2005,男女計,2024135
10,群馬,2005,男,996346
10,群馬,2005,女,1027789
11,埼玉,2005,男女計,7054243
11,埼玉,2005,男,3554843
11,埼玉,2005,女,3499400
12,千葉,2005,男女計,6056462
12,千葉,2005,男,3029486
12,千葉,2005,女,3026976
13,東京,2005,男女計,12576601
13,東京,2005,男,6264895
13,東京,2005,女,6311706
14,神奈川,2005,男女計,8791597
14,神奈川,2005,男,4444555
14,神奈川,2005,女,4347042
15,新潟,2005,男女計,2431459
15,新潟,2005,男,1176919
15,新潟,2005,女,1254540
16,富山,2005,男女計,1111729
16,富山,2005,男,535617
16,富山,2005,女,576112
17,石川,2005,男女計,1174026
17,石川,2005,男,567060
17,石川,2005,女,606966
18,福井,2005,男女計,821592
18,福井,2005,男,397271
18,福井,2005,女,424321
19,山梨,2005,男女計,884515
19,山梨,2005,男,433569
19,山梨,2005,女,450946
20,長野,2005,男女計,2196114
20,長野,2005,男,1068203
20,長野,2005,女,1127911
21,岐阜,2005,男女計,2107226
21,岐阜,2005,男,1020570
21,岐阜,2005,女,1086656
22,静岡,2005,男女計,3792377
22,静岡,2005,男,1868458
22,静岡,2005,女,1923919
23,愛知,2005,男女計,7254704
23,愛知,2005,男,3638994
23,愛知,2005,女,3615710
24,三重,2005,男女計,1866963
24,三重,2005,男,907214
24,三重,2005,女,959749
25,滋賀,2005,男女計,1380361
25,滋賀,2005,男,681474
25,滋賀,2005,女,698887
26,京都,2005,男女計,2647660
26,京都,2005,男,1272993
26,京都,2005,女,1374667
27,大阪,2005,男女計,8817166
27,大阪,2005,男,4280622
27,大阪,2005,女,4536544
28,兵庫,2005,男女計,5590601
28,兵庫,2005,男,2680288
28,兵庫,2005,女,2910313
29,奈良,2005,男女計,1421310
29,奈良,2005,男,676375
29,奈良,2005,女,744935
30,和歌山,2005,男女計,1035969
30,和歌山,2005,男,488022
30,和歌山,2005,女,547947
31,鳥取,2005,男女計,607012
31,鳥取,2005,男,290190
31,鳥取,2005,女,316822
32,島根,2005,男女計,742223
32,島根,2005,男,353703
32,島根,2005,女,388520
33,岡山,2005,男女計,1957264
33,岡山,2005,男,938600
33,岡山,2005,女,1018664
34,広島,2005,男女計,2876642
34,広島,2005,男,1390190
34,広島,2005,女,1486452
35,山口,2005,男女計,1492606
35,山口,2005,男,703721
35,山口,2005,女,788885
36,徳島,2005,男女計,809950
36,徳島,2005,男,384635
36,徳島,2005,女,425315
37,香川,2005,男女計,1012400
37,香川,2005,男,486108
37,香川,2005,女,526292
38,愛媛,2005,男女計,1467815
38,愛媛,2005,男,691677
38,愛媛,2005,女,776138
39,高知,2005,男女計,796292
39,高知,2005,男,374435
39,高知,2005,女,421857
40,福岡,2005,男女計,5049908
40,福岡,2005,男,2394094
40,福岡,2005,女,2655814
41,佐賀,2005,男女計,866369
41,佐賀,2005,男,408230
41,佐賀,2005,女,458139
42,長崎,2005,男女計,1478632
42,長崎,2005,男,691444
42,長崎,2005,女,787188
43,熊本,2005,男女計,1842233
43,熊本,2005,男,866916
43,熊本,2005,女,975317
44,大分,2005,男女計,1209571
44,大分,2005,男,569796
44,大分,2005,女,639775
45,宮崎,2005,男女計,1153042
45,宮崎,2005,男,542113
45,宮崎,2005,女,610929
46,鹿児島,2005,男女計,1753179
46,鹿児島,2005,男,819646
46,鹿児島,2005,女,933533
47,沖縄,2005,男女計,1361594
47,沖縄,2005,男,668502
47,沖縄,2005,女,693092
0,全国,2006,男女計,127770000
0,全国,2006,男,62330000
0,全国,2006,女,65440000
1,北海道,2006,男女計,5601000
1,北海道,2006,男,2657000
1,北海道,2006,女,2943000
2,青森,2006,男女計,1423000
2,青森,2006,男,671000
2,青森,2006,女,751000
3,岩手,2006,男女計,1375000
3,岩手,2006,男,658000
3,岩手,2006,女,717000
4,宮城,2006,男女計,2355000
4,宮城,2006,男,1145000
4,宮城,2006,女,1210000
5,秋田,2006,男女計,1134000
5,秋田,2006,男,534000
5,秋田,2006,女,599000
6,山形,2006,男女計,1208000
6,山形,2006,男,580000
6,山形,2006,女,627000
7,福島,2006,男女計,2080000
7,福島,2006,男,1011000
7,福島,2006,女,1069000
8,茨城,2006,男女計,2972000
8,茨城,2006,男,1479000
8,茨城,2006,女,1493000
9,栃木,2006,男女計,2015000
9,栃木,2006,男,1001000
9,栃木,2006,女,1014000
10,群馬,2006,男女計,2021000
10,群馬,2006,男,995000
10,群馬,2006,女,1026000
11,埼玉,2006,男女計,7071000
11,埼玉,2006,男,3561000
11,埼玉,2006,女,3510000
12,千葉,2006,男女計,6074000
12,千葉,2006,男,3036000
12,千葉,2006,女,3037000
13,東京,2006,男女計,12659000
13,東京,2006,男,6305000
13,東京,2006,女,6354000
14,神奈川,2006,男女計,8830000
14,神奈川,2006,男,4461000
14,神奈川,2006,女,4369000
15,新潟,2006,男女計,2418000
15,新潟,2006,男,1170000
15,新潟,2006,女,1248000
16,富山,2006,男女計,1110000
16,富山,2006,男,535000
16,富山,2006,女,575000
17,石川,2006,男女計,1172000
17,石川,2006,男,566000
17,石川,2006,女,606000
18,福井,2006,男女計,819000
18,福井,2006,男,396000
18,福井,2006,女,423000
19,山梨,2006,男女計,880000
19,山梨,2006,男,431000
19,山梨,2006,女,449000
20,長野,2006,男女計,2189000
20,長野,2006,男,1065000
20,長野,2006,女,1124000
21,岐阜,2006,男女計,2105000
21,岐阜,2006,男,1019000
21,岐阜,2006,女,1086000
22,静岡,2006,男女計,3797000
22,静岡,2006,男,1872000
22,静岡,2006,女,1925000
23,愛知,2006,男女計,7308000
23,愛知,2006,男,3670000
23,愛知,2006,女,3638000
24,三重,2006,男女計,1873000
24,三重,2006,男,911000
24,三重,2006,女,962000
25,滋賀,2006,男女計,1389000
25,滋賀,2006,男,687000
25,滋賀,2006,女,702000
26,京都,2006,男女計,2643000
26,京都,2006,男,1270000
26,京都,2006,女,1373000
27,大阪,2006,男女計,8815000
27,大阪,2006,男,4275000
27,大阪,2006,女,4540000
28,兵庫,2006,男女計,5590000
28,兵庫,2006,男,2678000
28,兵庫,2006,女,2912000
29,奈良,2006,男女計,1416000
29,奈良,2006,男,673000
29,奈良,2006,女,743000
30,和歌山,2006,男女計,1028000
30,和歌山,2006,男,484000
30,和歌山,2006,女,544000
31,鳥取,2006,男女計,604000
31,鳥取,2006,男,289000
31,鳥取,2006,女,315000
32,島根,2006,男女計,737000
32,島根,2006,男,351000
32,島根,2006,女,386000
33,岡山,2006,男女計,1955000
33,岡山,2006,男,937000
33,岡山,2006,女,1017000
34,広島,2006,男女計,2875000
34,広島,2006,男,1389000
34,広島,2006,女,1485000
35,山口,2006,男女計,1483000
35,山口,2006,男,699000
35,山口,2006,女,784000
36,徳島,2006,男女計,805000
36,徳島,2006,男,382000
36,徳島,2006,女,423000
37,香川,2006,男女計,1009000
37,香川,2006,男,484000
37,香川,2006,女,525000
38,愛媛,2006,男女計,1460000
38,愛媛,2006,男,688000
38,愛媛,2006,女,772000
39,高知,2006,男女計,789000
39,高知,2006,男,371000
39,高知,2006,女,419000
40,福岡,2006,男女計,5054000
40,福岡,2006,男,2395000
40,福岡,2006,女,2659000
41,佐賀,2006,男女計,863000
41,佐賀,2006,男,406000
41,佐賀,2006,女,457000
42,長崎,2006,男女計,1466000
42,長崎,2006,男,685000
42,長崎,2006,女,782000
43,熊本,2006,男女計,1836000
43,熊本,2006,男,864000
43,熊本,2006,女,973000
44,大分,2006,男女計,1206000
44,大分,2006,男,568000
44,大分,2006,女,638000
45,宮崎,2006,男女計,1148000
45,宮崎,2006,男,540000
45,宮崎,2006,女,609000
46,鹿児島,2006,男女計,1743000
46,鹿児島,2006,男,814000
46,鹿児島,2006,女,929000
47,沖縄,2006,男女計,1368000
47,沖縄,2006,男,671000
47,沖縄,2006,女,697000
0,全国,2007,男女計,127771000
0,全国,2007,男,62310000
0,全国,2007,女,65461000
1,北海道,2007,男女計,5570000
1,北海道,2007,男,2638000
1,北海道,2007,女,2933000
2,青森,2007,男女計,1407000
2,青森,2007,男,663000
2,青森,2007,女,744000
3,岩手,2007,男女計,1364000
3,岩手,2007,男,652000
3,岩手,2007,女,712000
4,宮城,2007,男女計,2347000
4,宮城,2007,男,1140000
4,宮城,2007,女,1208000
5,秋田,2007,男女計,1121000
5,秋田,2007,男,527000
5,秋田,2007,女,593000
6,山形,2007,男女計,1198000
6,山形,2007,男,575000
6,山形,2007,女,623000
7,福島,2007,男女計,2067000
7,福島,2007,男,1004000
7,福島,2007,女,1063000
8,茨城,2007,男女計,2969000
8,茨城,2007,男,1477000
8,茨城,2007,女,1492000
9,栃木,2007,男女計,2014000
9,栃木,2007,男,1001000
9,栃木,2007,女,1013000
10,群馬,2007,男女計,2016000
10,群馬,2007,男,993000
10,群馬,2007,女,1024000
11,埼玉,2007,男女計,7090000
11,埼玉,2007,男,3570000
11,埼玉,2007,女,3520000
12,千葉,2007,男女計,6098000
12,千葉,2007,男,3047000
12,千葉,2007,女,3051000
13,東京,2007,男女計,12758000
13,東京,2007,男,6354000
13,東京,2007,女,6405000
14,神奈川,2007,男女計,8880000
14,神奈川,2007,男,4484000
14,神奈川,2007,女,4396000
15,新潟,2007,男女計,2405000
15,新潟,2007,男,1163000
15,新潟,2007,女,1242000
16,富山,2007,男女計,1106000
16,富山,2007,男,533000
16,富山,2007,女,573000
17,石川,2007,男女計,1170000
17,石川,2007,男,565000
17,石川,2007,女,605000
18,福井,2007,男女計,816000
18,福井,2007,男,395000
18,福井,2007,女,421000
19,山梨,2007,男女計,877000
19,山梨,2007,男,429000
19,山梨,2007,女,447000
20,長野,2007,男女計,2180000
20,長野,2007,男,1060000
20,長野,2007,女,1120000
21,岐阜,2007,男女計,2104000
21,岐阜,2007,男,1019000
21,岐阜,2007,女,1085000
22,静岡,2007,男女計,3801000
22,静岡,2007,男,1875000
22,静岡,2007,女,1926000
23,愛知,2007,男女計,7360000
23,愛知,2007,男,3699000
23,愛知,2007,女,3661000
24,三重,2007,男女計,1876000
24,三重,2007,男,913000
24,三重,2007,女,963000
25,滋賀,2007,男女計,1396000
25,滋賀,2007,男,690000
25,滋賀,2007,女,706000
26,京都,2007,男女計,2635000
26,京都,2007,男,1266000
26,京都,2007,女,1370000
27,大阪,2007,男女計,8812000
27,大阪,2007,男,4269000
27,大阪,2007,女,4543000
28,兵庫,2007,男女計,5589000
28,兵庫,2007,男,2676000
28,兵庫,2007,女,2913000
29,奈良,2007,男女計,1410000
29,奈良,2007,男,669000
29,奈良,2007,女,741000
30,和歌山,2007,男女計,1019000
30,和歌山,2007,男,479000
30,和歌山,2007,女,540000
31,鳥取,2007,男女計,600000
31,鳥取,2007,男,286000
31,鳥取,2007,女,314000
32,島根,2007,男女計,731000
32,島根,2007,男,348000
32,島根,2007,女,383000
33,岡山,2007,男女計,1953000
33,岡山,2007,男,936000
33,岡山,2007,女,1016000
34,広島,2007,男女計,2873000
34,広島,2007,男,1389000
34,広島,2007,女,1485000
35,山口,2007,男女計,1474000
35,山口,2007,男,694000
35,山口,2007,女,780000
36,徳島,2007,男女計,800000
36,徳島,2007,男,380000
36,徳島,2007,女,420000
37,香川,2007,男女計,1006000
37,香川,2007,男,483000
37,香川,2007,女,523000
38,愛媛,2007,男女計,1452000
38,愛媛,2007,男,683000
38,愛媛,2007,女,769000
39,高知,2007,男女計,782000
39,高知,2007,男,366000
39,高知,2007,女,415000
40,福岡,2007,男女計,5056000
40,福岡,2007,男,2394000
40,福岡,2007,女,2662000
41,佐賀,2007,男女計,859000
41,佐賀,2007,男,404000
41,佐賀,2007,女,455000
42,長崎,2007,男女計,1453000
42,長崎,2007,男,678000
42,長崎,2007,女,775000
43,熊本,2007,男女計,1828000
43,熊本,2007,男,859000
43,熊本,2007,女,968000
44,大分,2007,男女計,1203000
44,大分,2007,男,567000
44,大分,2007,女,636000
45,宮崎,2007,男女計,1143000
45,宮崎,2007,男,537000
45,宮崎,2007,女,606000
46,鹿児島,2007,男女計,1730000
46,鹿児島,2007,男,807000
46,鹿児島,2007,女,923000
47,沖縄,2007,男女計,1373000
47,沖縄,2007,男,673000
47,沖縄,2007,女,700000
0,全国,2008,男女計,127692000
0,全国,2008,男,62251000
0,全国,2008,女,65441000
1,北海道,2008,男女計,5535000
1,北海道,2008,男,2616000
1,北海道,2008,女,2920000
2,青森,2008,男女計,1392000
2,青森,2008,男,654000
2,青森,2008,女,738000
3,岩手,2008,男女計,1352000
3,岩手,2008,男,645000
3,岩手,2008,女,707000
4,宮城,2008,男女計,2340000
4,宮城,2008,男,1135000
4,宮城,2008,女,1205000
5,秋田,2008,男女計,1108000
5,秋田,2008,男,521000
5,秋田,2008,女,587000
6,山形,2008,男女計,1188000
6,山形,2008,男,570000
6,山形,2008,女,618000
7,福島,2008,男女計,2052000
7,福島,2008,男,996000
7,福島,2008,女,1056000
8,茨城,2008,男女計,2964000
8,茨城,2008,男,1475000
8,茨城,2008,女,1489000
9,栃木,2008,男女計,2011000
9,栃木,2008,男,1000000
9,栃木,2008,女,1011000
10,群馬,2008,男女計,2012000
10,群馬,2008,男,990000
10,群馬,2008,女,1022000
11,埼玉,2008,男女計,7113000
11,埼玉,2008,男,3580000
11,埼玉,2008,女,3533000
12,千葉,2008,男女計,6122000
12,千葉,2008,男,3058000
12,千葉,2008,女,3064000
13,東京,2008,男女計,12838000
13,東京,2008,男,6393000
13,東京,2008,女,6446000
14,神奈川,2008,男女計,8917000
14,神奈川,2008,男,4500000
14,神奈川,2008,女,4417000
15,新潟,2008,男女計,2391000
15,新潟,2008,男,1156000
15,新潟,2008,女,1235000
16,富山,2008,男女計,1101000
16,富山,2008,男,531000
16,富山,2008,女,571000
17,石川,2008,男女計,1168000
17,石川,2008,男,564000
17,石川,2008,女,604000
18,福井,2008,男女計,812000
18,福井,2008,男,393000
18,福井,2008,女,419000
19,山梨,2008,男女計,871000
19,山梨,2008,男,426000
19,山梨,2008,女,445000
20,長野,2008,男女計,2171000
20,長野,2008,男,1055000
20,長野,2008,女,1115000
21,岐阜,2008,男女計,2100000
21,岐阜,2008,男,1017000
21,岐阜,2008,女,1083000
22,静岡,2008,男女計,3800000
22,静岡,2008,男,1875000
22,静岡,2008,女,1925000
23,愛知,2008,男女計,7403000
23,愛知,2008,男,3723000
23,愛知,2008,女,3680000
24,三重,2008,男女計,1875000
24,三重,2008,男,913000
24,三重,2008,女,962000
25,滋賀,2008,男女計,1402000
25,滋賀,2008,男,694000
25,滋賀,2008,女,708000
26,京都,2008,男女計,2629000
26,京都,2008,男,1262000
26,京都,2008,女,1367000
27,大阪,2008,男女計,8806000
27,大阪,2008,男,4263000
27,大阪,2008,女,4543000
28,兵庫,2008,男女計,5586000
28,兵庫,2008,男,2674000
28,兵庫,2008,女,2912000
29,奈良,2008,男女計,1404000
29,奈良,2008,男,666000
29,奈良,2008,女,738000
30,和歌山,2008,男女計,1012000
30,和歌山,2008,男,475000
30,和歌山,2008,女,536000
31,鳥取,2008,男女計,595000
31,鳥取,2008,男,284000
31,鳥取,2008,女,311000
32,島根,2008,男女計,725000
32,島根,2008,男,345000
32,島根,2008,女,380000
33,岡山,2008,男女計,1948000
33,岡山,2008,男,934000
33,岡山,2008,女,1014000
34,広島,2008,男女計,2869000
34,広島,2008,男,1387000
34,広島,2008,女,1482000
35,山口,2008,男女計,1463000
35,山口,2008,男,689000
35,山口,2008,女,774000
36,徳島,2008,男女計,794000
36,徳島,2008,男,377000
36,徳島,2008,女,417000
37,香川,2008,男女計,1003000
37,香川,2008,男,481000
37,香川,2008,女,521000
38,愛媛,2008,男女計,1444000
38,愛媛,2008,男,679000
38,愛媛,2008,女,765000
39,高知,2008,男女計,773000
39,高知,2008,男,362000
39,高知,2008,女,411000
40,福岡,2008,男女計,5054000
40,福岡,2008,男,2392000
40,福岡,2008,女,2663000
41,佐賀,2008,男女計,856000
41,佐賀,2008,男,402000
41,佐賀,2008,女,454000
42,長崎,2008,男女計,1440000
42,長崎,2008,男,671000
42,長崎,2008,女,769000
43,熊本,2008,男女計,1821000
43,熊本,2008,男,856000
43,熊本,2008,女,965000
44,大分,2008,男女計,1200000
44,大分,2008,男,566000
44,大分,2008,女,635000
45,宮崎,2008,男女計,1136000
45,宮崎,2008,男,533000
45,宮崎,2008,女,603000
46,鹿児島,2008,男女計,1717000
46,鹿児島,2008,男,800000
46,鹿児島,2008,女,917000
47,沖縄,2008,男女計,1376000
47,沖縄,2008,男,674000
47,沖縄,2008,女,702000
0,全国,2009,男女計,127510000
0,全国,2009,男,62130000
